model_name,block_type
alexnet,"['Conv2d', 'ReLU', 'MaxPool2d']"
alexnet,Conv2d
alexnet,AdaptiveAvgPool2d
alexnet,Linear
alexnet,Dropout
alexnet,ReLU
convnext_base,"['Conv2d', 'Permute', 'LayerNorm', 'Linear', 'GELU']"
convnext_base,LayerNorm2d
convnext_base,Conv2d
convnext_base,Permute
convnext_base,StochasticDepth
convnext_base,AdaptiveAvgPool2d
convnext_base,Linear
convnext_base,Flatten
convnext_large,"['Conv2d', 'Permute', 'LayerNorm', 'Linear', 'GELU']"
convnext_large,LayerNorm2d
convnext_large,Conv2d
convnext_large,Permute
convnext_large,StochasticDepth
convnext_large,AdaptiveAvgPool2d
convnext_large,Linear
convnext_large,Flatten
convnext_small,"['Conv2d', 'Permute', 'LayerNorm', 'Linear', 'GELU']"
convnext_small,LayerNorm2d
convnext_small,Conv2d
convnext_small,Permute
convnext_small,StochasticDepth
convnext_small,AdaptiveAvgPool2d
convnext_small,Linear
convnext_small,Flatten
convnext_tiny,"['Conv2d', 'Permute', 'LayerNorm', 'Linear', 'GELU']"
convnext_tiny,LayerNorm2d
convnext_tiny,Conv2d
convnext_tiny,Permute
convnext_tiny,StochasticDepth
convnext_tiny,AdaptiveAvgPool2d
convnext_tiny,Linear
convnext_tiny,Flatten
densenet121,"['BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d', 'ReLU']"
densenet121,MaxPool2d
densenet121,Conv2d
densenet121,Linear
densenet121,AvgPool2d
densenet121,BatchNorm2d
densenet121,ReLU
densenet161,"['BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d', 'ReLU']"
densenet161,MaxPool2d
densenet161,Conv2d
densenet161,Linear
densenet161,AvgPool2d
densenet161,BatchNorm2d
densenet161,ReLU
densenet169,"['BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d', 'ReLU']"
densenet169,MaxPool2d
densenet169,Conv2d
densenet169,Linear
densenet169,AvgPool2d
densenet169,BatchNorm2d
densenet169,ReLU
densenet201,"['BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d', 'ReLU']"
densenet201,MaxPool2d
densenet201,Conv2d
densenet201,Linear
densenet201,AvgPool2d
densenet201,BatchNorm2d
densenet201,ReLU
efficientnet_b0,"['Conv2d', 'BatchNorm2d', 'SiLU', 'Conv2d', 'BatchNorm2d']"
efficientnet_b0,Conv2d
efficientnet_b0,Sigmoid
efficientnet_b0,AdaptiveAvgPool2d
efficientnet_b0,StochasticDepth
efficientnet_b0,Linear
efficientnet_b0,Dropout
efficientnet_b0,BatchNorm2d
efficientnet_b0,SiLU
efficientnet_b1,"['Conv2d', 'BatchNorm2d', 'SiLU', 'Conv2d', 'BatchNorm2d']"
efficientnet_b1,Conv2d
efficientnet_b1,Sigmoid
efficientnet_b1,AdaptiveAvgPool2d
efficientnet_b1,StochasticDepth
efficientnet_b1,Linear
efficientnet_b1,Dropout
efficientnet_b1,BatchNorm2d
efficientnet_b1,SiLU
efficientnet_b2,"['Conv2d', 'BatchNorm2d', 'SiLU', 'Conv2d', 'BatchNorm2d']"
efficientnet_b2,Conv2d
efficientnet_b2,Sigmoid
efficientnet_b2,AdaptiveAvgPool2d
efficientnet_b2,StochasticDepth
efficientnet_b2,Linear
efficientnet_b2,Dropout
efficientnet_b2,BatchNorm2d
efficientnet_b2,SiLU
efficientnet_b3,"['Conv2d', 'BatchNorm2d', 'SiLU', 'Conv2d', 'BatchNorm2d']"
efficientnet_b3,Conv2d
efficientnet_b3,Sigmoid
efficientnet_b3,AdaptiveAvgPool2d
efficientnet_b3,StochasticDepth
efficientnet_b3,Linear
efficientnet_b3,Dropout
efficientnet_b3,BatchNorm2d
efficientnet_b3,SiLU
efficientnet_b4,"['Conv2d', 'BatchNorm2d', 'SiLU', 'Conv2d', 'BatchNorm2d']"
efficientnet_b4,Conv2d
efficientnet_b4,Sigmoid
efficientnet_b4,AdaptiveAvgPool2d
efficientnet_b4,StochasticDepth
efficientnet_b4,Linear
efficientnet_b4,Dropout
efficientnet_b4,BatchNorm2d
efficientnet_b4,SiLU
efficientnet_b5,"['Conv2d', 'BatchNorm2d', 'SiLU', 'Conv2d', 'BatchNorm2d']"
efficientnet_b5,Conv2d
efficientnet_b5,Sigmoid
efficientnet_b5,AdaptiveAvgPool2d
efficientnet_b5,StochasticDepth
efficientnet_b5,Linear
efficientnet_b5,Dropout
efficientnet_b5,BatchNorm2d
efficientnet_b5,SiLU
efficientnet_b6,"['Conv2d', 'BatchNorm2d', 'SiLU', 'Conv2d', 'BatchNorm2d']"
efficientnet_b6,Conv2d
efficientnet_b6,Sigmoid
efficientnet_b6,AdaptiveAvgPool2d
efficientnet_b6,StochasticDepth
efficientnet_b6,Linear
efficientnet_b6,Dropout
efficientnet_b6,BatchNorm2d
efficientnet_b6,SiLU
efficientnet_b7,"['Conv2d', 'BatchNorm2d', 'SiLU', 'Conv2d', 'BatchNorm2d']"
efficientnet_b7,Conv2d
efficientnet_b7,Sigmoid
efficientnet_b7,AdaptiveAvgPool2d
efficientnet_b7,StochasticDepth
efficientnet_b7,Linear
efficientnet_b7,Dropout
efficientnet_b7,BatchNorm2d
efficientnet_b7,SiLU
efficientnet_v2_l,"['Conv2d', 'BatchNorm2d', 'SiLU', 'Conv2d', 'BatchNorm2d']"
efficientnet_v2_l,Conv2d
efficientnet_v2_l,AdaptiveAvgPool2d
efficientnet_v2_l,StochasticDepth
efficientnet_v2_l,Sigmoid
efficientnet_v2_l,Linear
efficientnet_v2_l,Dropout
efficientnet_v2_l,BatchNorm2d
efficientnet_v2_l,SiLU
efficientnet_v2_m,"['Conv2d', 'BatchNorm2d', 'SiLU', 'Conv2d', 'BatchNorm2d']"
efficientnet_v2_m,Conv2d
efficientnet_v2_m,AdaptiveAvgPool2d
efficientnet_v2_m,StochasticDepth
efficientnet_v2_m,Sigmoid
efficientnet_v2_m,Linear
efficientnet_v2_m,Dropout
efficientnet_v2_m,BatchNorm2d
efficientnet_v2_m,SiLU
efficientnet_v2_s,"['Conv2d', 'BatchNorm2d', 'SiLU', 'Conv2d', 'BatchNorm2d']"
efficientnet_v2_s,Conv2d
efficientnet_v2_s,AdaptiveAvgPool2d
efficientnet_v2_s,StochasticDepth
efficientnet_v2_s,Sigmoid
efficientnet_v2_s,Linear
efficientnet_v2_s,Dropout
efficientnet_v2_s,BatchNorm2d
efficientnet_v2_s,SiLU
googlenet,"['Conv2d', 'BatchNorm2d', 'MaxPool2d', 'Conv2d', 'BatchNorm2d']"
googlenet,MaxPool2d
googlenet,Conv2d
googlenet,AdaptiveAvgPool2d
googlenet,Linear
googlenet,Dropout
googlenet,BatchNorm2d
inception_v3,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'Conv2d']"
inception_v3,MaxPool2d
inception_v3,Conv2d
inception_v3,AdaptiveAvgPool2d
inception_v3,Linear
inception_v3,Dropout
inception_v3,BatchNorm2d
maxvit_t,"['BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'GELU', 'Conv2d']"
maxvit_t,Conv2d
maxvit_t,Flatten
maxvit_t,AdaptiveAvgPool2d
maxvit_t,Sigmoid
maxvit_t,WindowPartition
maxvit_t,WindowDepartition
maxvit_t,Identity
maxvit_t,AvgPool2d
maxvit_t,Linear
maxvit_t,Dropout
maxvit_t,StochasticDepth
maxvit_t,GELU
maxvit_t,BatchNorm2d
maxvit_t,LayerNorm
maxvit_t,SwapAxes
maxvit_t,SiLU
maxvit_t,Tanh
mnasnet0_5,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
mnasnet0_5,Conv2d
mnasnet0_5,Linear
mnasnet0_5,Dropout
mnasnet0_5,BatchNorm2d
mnasnet0_5,ReLU
mnasnet0_75,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
mnasnet0_75,Conv2d
mnasnet0_75,Linear
mnasnet0_75,Dropout
mnasnet0_75,BatchNorm2d
mnasnet0_75,ReLU
mnasnet1_0,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
mnasnet1_0,Conv2d
mnasnet1_0,Linear
mnasnet1_0,Dropout
mnasnet1_0,BatchNorm2d
mnasnet1_0,ReLU
mnasnet1_3,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
mnasnet1_3,Conv2d
mnasnet1_3,Linear
mnasnet1_3,Dropout
mnasnet1_3,BatchNorm2d
mnasnet1_3,ReLU
mobilenet_v2,"['Conv2d', 'BatchNorm2d', 'ReLU6', 'Conv2d', 'BatchNorm2d']"
mobilenet_v2,Conv2d
mobilenet_v2,Linear
mobilenet_v2,Dropout
mobilenet_v2,ReLU6
mobilenet_v2,BatchNorm2d
mobilenet_v3_large,"['Conv2d', 'BatchNorm2d', 'Hardswish', 'Conv2d', 'BatchNorm2d']"
mobilenet_v3_large,Conv2d
mobilenet_v3_large,AdaptiveAvgPool2d
mobilenet_v3_large,Linear
mobilenet_v3_large,Hardswish
mobilenet_v3_large,Dropout
mobilenet_v3_large,BatchNorm2d
mobilenet_v3_large,ReLU
mobilenet_v3_large,Hardsigmoid
